absent near-centre frames 1925
1763 angle=20.6 r=0.275 p11=1.7778 esg_row=1
1764 angle=21.0 r=0.284 p11=1.7778 esg_row=1
1765 angle=21.4 r=0.292 p11=1.7778 esg_row=1
1766 angle=21.7 r=0.300 p11=1.7778 esg_row=1
1767 angle=22.0 r=0.308 p11=1.7778 esg_row=1
1768 angle=22.4 r=0.317 p11=1.7778 esg_row=1
1769 angle=22.7 r=0.324 p11=1.7778 esg_row=1
1770 angle=23.0 r=0.333 p11=1.7778 esg_row=1
1771 angle=23.4 r=0.340 p11=1.7778 esg_row=1
1772 angle=23.7 r=0.348 p11=1.7778 esg_row=1
1773 angle=24.0 r=0.355 p11=1.7778 esg_row=1
1774 angle=24.3 r=0.363 p11=1.7778 esg_row=1
1775 angle=24.6 r=0.370 p11=1.7778 esg_row=1
1776 angle=24.9 r=0.377 p11=1.7778 esg_row=1
18077 angle=17.3 r=0.548 p11=1.7778 esg_row=1
18078 angle=16.8 r=0.536 p11=1.7778 esg_row=1
18079 angle=16.4 r=0.525 p11=1.7778 esg_row=1
18080 angle=16.2 r=0.514 p11=1.7778 esg_row=1
18084 angle=16.2 r=0.477 p11=1.7778 esg_row=1
18085 angle=16.5 r=0.469 p11=1.7778 esg_row=1
18086 angle=16.9 r=0.462 p11=1.7778 esg_row=1
18087 angle=17.3 r=0.456 p11=1.7778 esg_row=1
20044 angle=24.8 r=0.623 p11=1.7778 esg_row=1
20045 angle=24.5 r=0.619 p11=1.7778 esg_row=1
20046 angle=24.1 r=0.615 p11=1.7778 esg_row=1
20047 angle=23.7 r=0.611 p11=1.7778 esg_row=1
20070 angle=16.9 r=0.522 p11=1.7778 esg_row=1
20071 angle=16.7 r=0.518 p11=1.7778 esg_row=1
20072 angle=16.5 r=0.514 p11=1.7778 esg_row=1
20073 angle=16.3 r=0.511 p11=1.7778 esg_row=1
20074 angle=16.1 r=0.506 p11=1.7778 esg_row=1
20075 angle=15.9 r=0.503 p11=1.7778 esg_row=1
20076 angle=15.7 r=0.498 p11=1.7778 esg_row=1
20077 angle=15.6 r=0.494 p11=1.7778 esg_row=1
20078 angle=15.4 r=0.491 p11=1.7778 esg_row=1
20079 angle=15.3 r=0.487 p11=1.7778 esg_row=1
20080 angle=15.2 r=0.483 p11=1.7778 esg_row=1
20081 angle=15.1 r=0.479 p11=1.7778 esg_row=1
20082 angle=15.0 r=0.475 p11=1.7778 esg_row=1
20083 angle=14.9 r=0.472 p11=1.7778 esg_row=1
20084 angle=14.9 r=0.468 p11=1.7778 esg_row=1
20085 angle=14.8 r=0.464 p11=1.7778 esg_row=1
20086 angle=14.8 r=0.460 p11=1.7778 esg_row=1
20087 angle=14.8 r=0.456 p11=1.7778 esg_row=1
20088 angle=14.7 r=0.452 p11=1.7778 esg_row=1
20089 angle=14.8 r=0.449 p11=1.7778 esg_row=1
20090 angle=14.8 r=0.445 p11=1.7778 esg_row=1
20091 angle=14.8 r=0.442 p11=1.7778 esg_row=1
20092 angle=14.8 r=0.438 p11=1.7778 esg_row=1
20093 angle=14.9 r=0.434 p11=1.7778 esg_row=1
20094 angle=15.0 r=0.431 p11=1.7778 esg_row=1
20095 angle=15.0 r=0.427 p11=1.7778 esg_row=1
20096 angle=15.1 r=0.423 p11=1.7778 esg_row=1
20097 angle=15.2 r=0.420 p11=1.7778 esg_row=1
20098 angle=15.3 r=0.416 p11=1.7778 esg_row=1
20099 angle=15.5 r=0.413 p11=1.7778 esg_row=1
20100 angle=15.6 r=0.410 p11=1.7778 esg_row=1
20101 angle=15.8 r=0.406 p11=1.7778 esg_row=1
20504 angle=14.2 r=0.377 p11=1.7778 esg_row=1
20505 angle=14.6 r=0.384 p11=1.7778 esg_row=1
20506 angle=14.9 r=0.391 p11=1.7778 esg_row=1
20507 angle=15.2 r=0.397 p11=1.7778 esg_row=1
20508 angle=15.5 r=0.401 p11=1.7778 esg_row=1
20509 angle=15.7 r=0.406 p11=1.7778 esg_row=1
20510 angle=15.9 r=0.410 p11=1.7778 esg_row=1
20511 angle=16.2 r=0.414 p11=1.7778 esg_row=1
20512 angle=16.4 r=0.418 p11=1.7778 esg_row=1
20513 angle=16.6 r=0.422 p11=1.7778 esg_row=1
20514 angle=16.8 r=0.426 p11=1.7778 esg_row=1
20515 angle=17.0 r=0.429 p11=1.7778 esg_row=1
20516 angle=17.2 r=0.433 p11=1.7778 esg_row=1
20517 angle=17.4 r=0.437 p11=1.7778 esg_row=1
20518 angle=17.6 r=0.440 p11=1.7778 esg_row=1
20519 angle=17.8 r=0.444 p11=1.7778 esg_row=1
20520 angle=18.0 r=0.447 p11=1.7778 esg_row=1
20521 angle=18.1 r=0.451 p11=1.7778 esg_row=1
20522 angle=18.3 r=0.454 p11=1.7778 esg_row=1
