   1 draws     360 prim model=00004e86 cam=0ba8 ovl=0 ctxlod=[0] lods=1 thr=100000 nodes=1+0nocensus s=424,d=12574,r=8340,lod=0,kept body=effects\engines\fx_engine_argon_M3
   1 draws       2 prim model=00005697 cam=33f8 ovl=0 ctxlod=[0] lods=1 thr=10000 nodes=1+0nocensus s=117440512,d=0,r=256,lod=0,kept body=effects/menugfx/hud_info_2d
   1 draws       2 prim model=00005698 cam=33f8 ovl=0 ctxlod=[0] lods=1 thr=10000 nodes=1+0nocensus s=117440512,d=206,r=256,lod=0,kept body=effects/menugfx/hud_weapons_2d
   1 draws       2 prim model=0000569b cam=4e08 ovl=0 ctxlod=[0] lods=1 thr=10000 nodes=1+0nocensus s=640,d=1024,r=1024,lod=0,kept body=effects/menugfx/GUI/sidebar
   1 draws       2 prim model=0000568d cam=f800 ovl=0 ctxlod=[0] lods=1 thr=10000 nodes=1+0nocensus s=283,d=1157,r=512,lod=0,kept body=effects\menugfx\GUI\gui_master
frame 34356 draws=84 by camera={'13f11fb0': 5, '13f11818': 61, '00000000': 8, '13f0b360': 3, '13f75cd0': 1, '118842f8': 4, '29c47100': 1, '29bcfb70': 1}
  12 draws    1680 prim model=00005413 cam=1818 ovl=0 ctxlod=[0] lods=1 thr=100000 nodes=12+0nocensus s=18,d=2116546,r=61759,lod=0,kept s=18,d=2131875,r=61759,lod=0,kept s=18,d=2138906,r=61759,lod=0,kept body=stations\connections\connect_argon_pipe_medium_cargo_cargoanimA
  10 draws    4270 prim model=35b42b43 cam=1818 ovl=0 ctxlod=[0] lods=1 thr=10000 nodes=5+0nocensus s=6,d=2326406,r=22099,lod=0,kept s=6,d=2329962,r=22099,lod=0,kept s=6,d=2341974,r=22099,lod=0,kept body=-
   8 draws    2560 prim model=00005421 cam=1818 ovl=0 ctxlod=[0] lods=1 thr=100000 nodes=8+0nocensus s=13,d=6916513,r=150314,lod=0,kept s=13,d=6927747,r=150314,lod=0,kept s=13,d=6964674,r=150314,lod=0,kept body=stations\connections\connect_argon_pipe_huge_cargoanimA_
   8 draws    1334 prim model=00000000 cam=0000 ovl=0 ctxlod=[0] no census row nodes=0+1nocensus  body=-
   6 draws   10362 prim model=00004a88 cam=1818 ovl=0 ctxlod=[0] lods=4 thr=100000,30,15,5 nodes=5+0nocensus s=45,d=17245,r=1236,lod=0,kept s=45,d=17246,r=1236,lod=0,kept s=51,d=15460,r=1236,lod=0,kept body=ships\props\weapondummy
   6 draws     360 prim model=00005412 cam=1818 ovl=0 ctxlod=[0] lods=1 thr=100000 nodes=6+0nocensus s=12,d=2114479,r=42080,lod=0,kept s=12,d=2134972,r=42080,lod=0,kept s=13,d=1929568,r=42080,lod=0,kept body=stations\connections\connect_argon_pipe_medium_cargo_cargoanimB
   5 draws     670 prim model=35b42b44 cam=1818 ovl=0 ctxlod=[0] lods=1 thr=10000 nodes=5+0nocensus s=4,d=2306871,r=17366,lod=0,kept s=4,d=2311456,r=17366,lod=0,kept s=4,d=2326267,r=17366,lod=0,kept body=-
